Stream Name,Data Source,Source Object,Connector Type,Category,Total Records,DLO Name,Last Refresh Date
MessagingConsentV2_MessagingConsent_2EBB2DBE,MessagingConsentV2_b161db06_18ef_4a8c_9360_6dbdca89c598,,IngestApi,Other,0,MessagingConsentV2_MessagingCon_2EBB2DBE__dll,2025-09-09T16:19:35.000Z
MessagingEventsEmailV2_00Dam00000Uo32q_EmailEngagement_B94CF714,MessagingEventsEmailV2_00Dam00000Uo32q_a346bdb5_4207_4d46_ae0f_6934048f9da9,,IngestApi,Engagement,0,MessagingEventsEmailV2_00Dam000_B94CF714__dll,2025-11-25T05:10:00.000Z
MessagingEventsEmailV2_EmailEngagement_2EF27E9C,MessagingEventsEmailV2_7c343870_6499_45f3_b7af_fe6addd98046,,IngestApi,Engagement,0,MessagingEventsEmailV2_EmailEng_2EF27E9C__dll,2025-09-09T16:20:23.000Z
MessagingEventsSmsV2_00Dam00000Uo32q_SmsEngagement_B95055B5,MessagingEventsSmsV2_00Dam00000Uo32q_1a14f0fd_2ea5_450c_a824_e95d27e07987,,IngestApi,Engagement,0,MessagingEventsSmsV2_00Dam00000_B95055B5__dll,2025-11-25T05:12:46.000Z
MessagingEventsSmsV2_SmsEngagement_2EF71E76,MessagingEventsSmsV2_b2854694_dd7d_4449_9b7b_5cbf3163e242,,IngestApi,Engagement,0,MessagingEventsSmsV2_SmsEngagem_2EF71E76__dll,2025-09-09T16:24:55.000Z
MessagingEventsWhatsAppV2_00Dam00000Uo32q_WhatsappEngagement_B94EA8A1,MessagingEventsWhatsAppV2_00Dam00000Uo32q_162eaeb9_dbff_4584_9dae_9ae363e57ac7,,IngestApi,Engagement,0,MessagingEventsWhatsAppV2_00Dam_B94EA8A1__dll,2025-11-25T05:11:19.000Z
MessagingEventsWhatsAppV2_WhatsappEngagement_2EFABDC9,MessagingEventsWhatsAppV2_407c92bb_4d65_4383_bf4f_5f8da75fd6e7,,IngestApi,Engagement,0,MessagingEventsWhatsAppV2_Whats_2EFABDC9__dll,2025-09-09T16:13:55.000Z
MktDataLakeMapping_Home,SalesforceDotCom_Home,MktDataLakeMapping,SalesforceDotCom,Other,0,MktDataLakeMapping_Home__dll,2026-07-02T16:50:36.000Z
ObjectMetadataTag_Home,SalesforceDotCom_Home,ObjectMetadataTag,SalesforceDotCom,Other,0,ObjectMetadataTag_Home__dll,2026-07-02T16:50:36.000Z
ObservabilitySpans,Observability,,Observability,Observability_Table,0,ObservabilitySpans__dll,
